id,level,field
0,Bachelors,Finance or related field
1,Masters,"Quantitative Finance, PhD preferred"
2,Masters,Environmental Science or similar
3,Bachelors,Environmental Science or similar
4,Masters,Aerospace Engineering
5,Bachelors,Engineering or Business Administration
6,PhD,Aerospace or Mechanical Engineering
7,Masters,Data Science or Public Health
8,Bachelors,IT
9,Masters,Computer Science
10,Bachelors,Logistics or related field
11,Masters,Civil Engineering or Transport Engineering
12,Bachelors,Business Administration
13,Masters,Data Science
14,Masters,Machine Learning
15,Bachelors,Business Analytics or related field
16,PhD,Machine Learning
17,Bachelors,Data Science
18,Bachelors,Business or IT
19,Bachelors,Design or related field
20,Bachelors,Computer Science
21,Diploma,IT
22,Masters,Cloud Computing or IT
23,Bachelors,Cybersecurity or IT
24,Masters,Business Administration
25,Bachelors,Data Science or Statistics
26,Masters,Business Administration or IT
27,Masters,Data Science or Statistics
28,PhD,AI or related field
29,PhD,Computer Science
30,Masters,Mechanical Engineering
31,Bachelors,Electrical Engineering
32,Masters,Quality Management or similar
33,Masters,Control Systems or Electrical Engineering
34,Bachelors,Data Science or Computer Science
35,Bachelors,IT or Cloud Computing
36,PhD,AI Ethics or Philosophy
37,Masters,Business Analytics or similar
38,Bachelors,Technical Writing
39,Masters,Robotics or Mechanical Engineering
40,Bachelors,QA Engineering
41,Bachelors,Communications or similar
42,Bachelors,Business Management
43,Bachelors,Human Resources
44,Masters,Human Resources or similar
45,Bachelors,Data Analytics
46,Bachelors,Graphic Design
47,Bachelors,Marketing
48,Bachelors,Communications
49,Bachelors,Cybersecurity
50,Diploma,High School  or equivalent
51,Masters,Business or Computer Science
52,Bachelors,Engineering
53,Masters,Project Management or similar
54,Masters,Finance or related field
55,Other,MBA in Finance or CFA Certification
56,Masters,Environmental Studies or Finance
57,Bachelors,"Finance or Economics, MBA preferred"
58,Bachelors,Aerospace Engineering
59,Bachelors,Engineering or related field
60,Masters,Materials Science or Aerospace Engineering
61,Bachelors,"Life Sciences, MBA preferred"
62,Bachelors,Biomedical Engineering
63,Bachelors,Logistics or Business Administration
64,Diploma,Information Technology
65,Bachelors,"English, Journalism, or related field"
66,Masters,Data Science or Computer Science
67,Other,MBA or related field
68,Bachelors,Supply Chain Management
69,Masters,Public Policy or Political Science
70,Bachelors,Business or related field
71,PhD,"Physics, Chemistry, or related field"
72,Bachelors,Science or equivalent
73,Bachelors,Management or related field
74,Masters,Environmental Science or related field
75,Bachelors,Business or Communications
76,Bachelors,Human Resources or related field
77,Bachelors,Human Resources or Psychology
78,Diploma,Accounting or related field
79,Bachelors,Graphic Design or Fine Arts
80,Bachelors,Marketing or Business Administration
81,Diploma,Digital Marketing or related field
82,Bachelors,Supply Chain Management or Logistics
83,Bachelors,Cybersecurity or related field
84,Masters,Cloud Computing or similar
85,Diploma,Business or Marketing
86,Bachelors,IT or Network Engineering
87,Bachelors,Mechanical Engineering
88,Bachelors,Manufacturing or Industrial Engineering
89,Bachelors,Mechanical Engineering or similar
90,Bachelors,"English, Communications, or related field"
91,Diploma,Human Resources or related field
92,Bachelors,Business Administration or MBA
93,Diploma,Graphic Design or related field
94,Masters,IT
95,Bachelors,English or Journalism
96,Diploma,Logistics or related field
97,PhD,"Chemistry, Biology, or related field"
98,Bachelors,Science or related field
99,Bachelors,"Psychology, Human-Computer Interaction, or related field"
100,Masters,Cloud Computing or related field
101,Bachelors,Communications or related field
102,Bachelors,Logistics or Supply Chain Management
103,Bachelors,Business or Supply Chain Management
104,Bachelors,Project Management or related field
105,Bachelors,"English, Communications, or Journalism"
106,Bachelors,Supply Chain Management or related field
107,Bachelors,Marketing or IT
108,Diploma,Digital Marketing
